City,City Latitude,City Longitude,Venue,id,Venue Latitude,Venue Longitude,Venue Category,Venue Rating,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
San Francisco,37.7875138,-122.40715900000001,Saint Laurent,528d4fe211d2543b7663f4fd,37.78777380886315,-122.40541234778568,Boutique,9.2,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
San Francisco,37.7875138,-122.40715900000001,Maison Margiela,551cfcaf498e23f2c0115449,37.78826107452542,-122.40576506157394,Boutique,9.2,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
San Francisco,37.7875138,-122.40715900000001,Tiffany & Co.,4a791992f964a520efe61fe3,37.7885979,-122.4077075,Jewelry Store,8.9,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
San Francisco,37.7875138,-122.40715900000001,Williams-Sonoma,4aa45625f964a5207b4620e3,37.78837660319474,-122.40744602791888,Kitchen Supply Store,8.8,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
San Francisco,37.7875138,-122.40715900000001,The Archive,4b4bd8caf964a5207ba926e3,37.78949409500822,-122.40576567208812,Men's Store,9.4,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
San Francisco,37.7875138,-122.40715900000001,James Colgan Union Square,516ddbdee4b03303eba849c8,37.787656332505776,-122.40632612582705,Salon / Barbershop,8.7,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
San Francisco,37.7875138,-122.40715900000001,Apple Union Square,42cc7080f964a520e9251fe3,37.788689736326674,-122.4071735143661,Electronics Store,8.7,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
San Francisco,37.7875138,-122.40715900000001,Benjamin Cooper,54f132e7498e5d065370a6b1,37.787396,-122.409847,Cocktail Bar,8.9,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
San Francisco,37.7875138,-122.40715900000001,Union Square,40bbc700f964a520b1001fe3,37.78793300477387,-122.40750074386595,Pedestrian Plaza,8.6,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
San Francisco,37.7875138,-122.40715900000001,UNIQLO,50043438e4b0f448ea4f447f,37.78584993862771,-122.4080414382703,Clothing Store,8.6,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
San Francisco,37.7875138,-122.40715900000001,Trader Joe's,58a3a06dbbec6606e1b580a3,37.785540419593474,-122.40545481697129,Grocery Store,9.0,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
San Francisco,37.7875138,-122.40715900000001,August Hall,5ac7f1a5e97dfb28c5c39e54,37.78744340212743,-122.40989437852171,Music Venue,8.7,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
San Francisco,37.7875138,-122.40715900000001,The Whisky Shop,4ae0eae3f964a520b18321e3,37.78949422889631,-122.40655438469376,Liquor Store,8.6,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
San Francisco,37.7875138,-122.40715900000001,Black Sugar,5b92f6a135d3fc002c950444,37.78613512506749,-122.40994756960232,Bubble Tea Shop,9.0,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
San Francisco,37.7875138,-122.40715900000001,Christian Louboutin,537e71a3498e635a12b751f9,37.788098668881844,-122.40400043517404,Boutique,8.9,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
San Francisco,37.7875138,-122.40715900000001,Maiden Lane,4f076f28e4b0540ca10fc476,37.787870473496774,-122.40432051120592,Plaza,8.7,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
San Francisco,37.7875138,-122.40715900000001,Brilliant Earth,4e46ee24b61c03d0cd133b53,37.78682,-122.40548999999999,Jewelry Store,8.4,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
San Francisco,37.7875138,-122.40715900000001,CB2 Union Square,49f0ee61f964a52071691fe3,37.78591,-122.40677,Furniture / Home Store,8.4,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
San Francisco,37.7875138,-122.40715900000001,Pure Organic Spa,4ee62c106d868c055087400f,37.78928634075461,-122.40919054070817,Spa,8.7,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
San Francisco,37.7875138,-122.40715900000001,The Olympic Club,4a6f3531f964a5209cd51fe3,37.78818105686168,-122.41106656038572,Gym / Fitness Center,9.4,1,Boutique,Jewelry Store,Liquor Store,Clothing Store,Furniture / Home Store,Plaza,Music Venue,Salon / Barbershop,Cocktail Bar,Bubble Tea Shop
Denver,39.75177015,-105.01387275739978,Mind Eraser,4df91800b61c6b97d1f1c937,39.74956155734978,-105.01388726041263,Theme Park Ride / Attraction,8.2,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,Children's Museum of Denver,4b001557f964a520af3a22e3,39.748706891446325,-105.01706134102,Museum,8.6,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,REI,4b038029f964a5209d4f22e3,39.755621999999995,-105.009853,Sporting Goods Shop,9.3,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,Downtown Aquarium,4bc1fac24cdfc9b6854c9521,39.751822077302855,-105.0139394354768,Aquarium,7.6,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,Confluence Park,4a35a988f964a520479d1fe3,39.75448692690256,-105.00856943810192,Park,8.7,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,My Brother's Bar,40e0b100f964a520c0031fe3,39.75623169184121,-105.00922029546223,Pub,9.0,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
Denver,39.75177015,-105.01387275739978,Sapor Coffee & Concepts,5aec620d98fbfc002cf27bc5,39.756985567336415,-105.01784530648612,Coffee Shop,9.1,0,Cocktail Bar,Coffee Shop,Theme Park Ride / Attraction,Wine Bar,Pub,Aquarium,Brewery,Hawaiian Restaurant,Museum,Park
